"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","746","test_upload_file_event[chromium]","","2026-06-17","passed","2026-06-17","","test_upload","",""
"","1545","test_new_tab[chromium]","","2026-06-17","passed","2026-06-17","","test_tabs","",""
"","518","test_all_text_contents[chromium]","","2026-06-17","passed","2026-06-17","","test_element","",""
"","581","test_element_screenshot[chromium]","screen","2026-06-17","passed","2026-06-17","","test_screenshot","",""
"","1889","test_upload_file_expect[chromium]","","2026-06-17","passed","2026-06-17","","test_upload","",""
"","236","test_screenshot_area[chromium]","screen","2026-06-17","passed","2026-06-17","","test_screenshot","",""
"","1678","test_download[chromium]","","2026-06-17","passed","2026-06-17","","test_download","",""
"","604","test_upload_file[chromium]","","2026-06-17","passed","2026-06-17","","test_upload","",""
"","1134","Авторизация с недействительными учетными данными","project2.tests","2026-06-17","passed","2026-06-17","","test_login","",""
"","1278","Авторизация с корректными учетными данными","project2.tests","2026-06-17","passed","2026-06-17","","test_login","",""
"","380","test_full_page_screenshot[chromium]","screen","2026-06-17","passed","2026-06-17","","test_screenshot","",""
"","673","test_chain_with_variable[chromium]","","2026-06-17","passed","2026-06-17","","test_form","",""
"","942","test_all_inner_texts[chromium]","","2026-06-17","passed","2026-06-17","","test_element","",""
"","866","test_inner_text[chromium]","","2026-06-17","passed","2026-06-17","","test_element","",""
"","1568","test_filter_has_not_text[chromium]","","2026-06-17","passed","2026-06-17","","test_form","",""
"","960","test_screenshot_transparent[chromium]","screen","2026-06-17","passed","2026-06-17","","test_screenshot","",""
"","361","test_chain_with_double_arrow[chromium]","","2026-06-17","passed","2026-06-17","","test_form","",""
"","1355","test_screenshot[chromium]","screen","2026-06-17","passed","2026-06-17","","test_screenshot","",""
"","377","test_login_failure[chromium]","project","2026-06-17","passed","2026-06-17","","test_pageclass","",""
"","548","test_screenshot_JPEG[chromium]","screen","2026-06-17","passed","2026-06-17","","test_screenshot","",""
"","108","test_block_resources[chromium]","","2026-06-17","passed","2026-06-17","","test_request2","",""
"","1993","test_filter_has_not[chromium]","","2026-06-17","passed","2026-06-17","","test_form","",""
"","368","test_add_todo[chromium]","","2026-06-17","passed","2026-06-17","","test_todo","",""
"","3712","Авторизация с корректными учетными данными","project2.tests","2026-06-17","passed","2026-06-17","","test_login","",""
"","751","test_new_tab_alert[chromium]","","2026-06-17","passed","2026-06-17","","test_tabs","",""
"","503","test_filter_has_text[chromium]","","2026-06-17","passed","2026-06-17","","test_form","",""
"","235","test_inner_html[chromium]","","2026-06-17","passed","2026-06-17","","test_element","",""
"","667","test_message[chromium]","","2026-06-17","passed","2026-06-17","","test_element","",""
"","8006","test_listen_network[chromium]","","2026-06-17","passed","2026-06-17","","test_request","",""
"","257","test_text_content[chromium]","","2026-06-17","passed","2026-06-17","","test_element","",""
"","290","test_filter_has_locator[chromium]","","2026-06-17","passed","2026-06-17","","test_form","",""
"","0","test_intercepted[chromium]","","2026-06-17","skipped","2026-06-17","","test_mod","",""
"","395","test_todo[chromium]","","2026-06-17","passed","2026-06-17","","test_assertions","",""
